,Age,score_wifi,score_booking,score_location,score_restaurant,score_spa,score_sports,score_checkin,score_local_sites,score_housekeeping,score_overall
2387,39,2,2,4,5,3,5,5,5,5,5
2388,21,5,5,4,4,5,4,4,3,4,3
2389,40,4,1,1,3,3,4,2,4,2,1
2390,33,3,3,3,5,5,5,5,4,5,5
2391,15,5,5,2,2,2,2,5,4,2,4
2392,59,5,5,5,3,4,3,5,3,3,4
2393,58,4,3,4,2,5,3,4,3,5,5
2394,42,0,0,4,3,4,1,3,1,4,4
2395,70,3,3,5,2,2,2,3,4,2,1
2396,19,5,5,2,4,4,4,3,4,4,3
2397,49,4,5,5,1,2,4,4,4,4,3
2398,48,2,1,1,4,3,2,3,2,4,2
2399,36,3,3,3,2,5,4,4,4,4,3
2400,39,3,3,2,3,3,3,3,5,3,2
2401,25,2,2,4,2,2,5,2,3,2,1
2402,43,3,1,1,3,4,3,4,3,4,1
2403,11,3,3,1,5,5,5,3,3,5,2
2404,43,3,3,3,3,4,5,5,5,4,3
2405,48,4,4,2,5,5,5,5,5,5,2
2406,50,3,3,1,2,2,2,1,1,2,1
2407,45,5,5,5,2,5,4,3,4,3,3
2408,50,2,1,1,1,2,2,4,2,1,0
2409,25,4,4,5,4,4,4,4,1,4,4
2410,24,3,3,3,4,4,4,2,4,4,2
2411,11,3,3,2,1,1,1,3,2,1,0
2412,32,5,5,4,5,5,5,2,2,5,5
2413,9,1,1,3,3,3,3,1,4,3,2
2414,30,3,5,5,3,3,3,2,4,3,1
2415,40,5,5,3,3,3,3,3,2,3,3
2416,62,3,3,3,3,4,5,2,5,1,0
2417,48,3,3,3,4,4,4,4,5,4,1
2418,27,3,3,3,3,2,3,1,3,3,2
2419,58,2,2,2,4,5,5,4,5,5,5
2420,47,3,3,2,4,4,4,3,4,4,1
2421,40,5,5,5,5,5,3,5,4,5,5
2422,22,1,1,3,4,4,4,4,4,4,2
2423,29,1,1,1,3,3,3,4,4,3,2
2424,54,3,3,3,2,4,3,4,3,3,2
2425,45,1,1,1,1,1,1,3,4,1,0
2426,27,3,3,3,1,1,1,2,4,1,0
2427,51,1,1,1,4,5,4,4,4,3,4
2428,50,4,5,5,4,4,4,2,3,4,2
2429,17,3,3,3,2,2,2,5,2,2,1
2430,43,1,1,3,4,4,4,4,4,4,2
2431,35,2,2,2,3,3,3,4,4,3,2
2432,35,3,1,1,3,3,3,4,4,3,1
2433,42,2,5,5,2,2,2,1,4,2,2
2434,41,1,4,1,4,5,5,4,5,3,4
2435,38,1,2,2,1,1,1,4,2,1,0
2436,34,1,2,2,3,3,1,4,1,4,1
2437,37,1,1,1,5,5,5,3,5,3,4
2438,28,2,2,4,5,5,5,1,3,5,1
2439,48,1,1,1,2,4,5,4,5,5,5
2440,16,1,1,3,1,3,1,2,4,1,0
2441,16,1,1,2,4,4,4,3,2,4,1
2442,56,4,4,4,5,5,5,3,5,5,5
2443,61,2,2,4,3,3,3,5,4,3,2
2444,25,2,2,4,5,5,5,3,4,5,2
2445,70,2,2,3,5,4,2,3,2,1,0
2446,21,3,2,2,5,5,5,3,3,5,2
2447,51,2,2,2,2,5,4,5,4,5,5
2448,39,3,4,4,5,4,3,3,3,3,2
2449,9,4,4,4,5,5,5,4,3,5,2
2450,40,1,1,1,2,5,4,4,4,3,4
2451,49,3,4,4,5,4,2,3,2,2,2
2452,54,2,2,3,3,3,3,3,4,3,1
2453,30,0,0,3,4,4,4,5,3,4,4
2454,39,5,5,5,4,1,4,2,4,2,3
2455,49,2,2,3,4,3,2,5,2,1,3
2456,70,2,2,1,5,4,2,3,2,5,2
2457,35,2,2,2,2,2,2,3,4,2,1
2458,56,5,5,5,2,4,5,3,5,3,4
2459,62,4,5,5,3,1,3,1,3,3,4
2460,25,4,4,4,4,4,4,4,3,4,3
2461,53,2,2,2,4,4,3,4,3,4,2
2462,27,4,4,4,4,4,4,4,4,4,1
2463,22,1,1,2,4,4,4,2,3,4,1
2464,66,3,5,5,1,3,3,4,3,4,2
2465,66,3,3,3,3,4,4,3,4,4,1
2466,57,5,5,5,2,4,4,5,4,4,3
2467,25,2,2,2,2,2,2,3,3,2,1
2468,18,5,4,1,4,4,4,2,1,4,3
2469,52,1,1,1,5,4,5,3,5,3,4
2470,44,1,1,3,5,5,5,4,3,5,2
2471,45,5,5,5,5,5,3,3,3,5,5
2472,71,1,5,5,1,1,1,1,3,1,0
2473,68,4,4,5,5,5,5,4,4,5,1
2474,38,1,1,3,2,2,2,2,3,2,2
2475,16,1,1,1,5,4,5,2,1,5,2
2476,57,0,0,5,2,4,4,3,4,4,3
2477,18,0,0,3,0,4,3,4,3,4,4
2478,59,5,5,5,3,5,5,3,5,4,4
2479,76,1,1,1,2,3,1,1,1,4,1
2480,22,5,3,5,5,5,5,5,4,5,5
2481,46,4,2,4,2,3,5,1,5,2,4
2482,17,3,4,1,3,3,3,3,5,3,1
2483,46,4,2,4,3,3,3,2,5,3,4
2484,18,1,1,1,2,5,2,3,5,2,2
2485,28,4,4,3,3,3,3,5,4,3,3
2486,37,5,5,5,1,1,4,2,4,4,3
2487,43,5,5,5,4,5,4,3,4,3,4
2488,25,2,2,4,5,5,5,5,5,5,2
2489,31,2,2,2,2,2,2,1,3,2,1
2490,62,3,3,2,2,4,5,5,5,4,1
2491,55,5,3,3,5,5,5,4,5,5,5
2492,35,2,0,4,2,2,2,5,4,2,1
2493,39,1,1,1,3,5,5,4,5,4,3
2494,65,3,2,5,5,4,5,5,5,4,2
2495,21,2,5,2,4,4,4,3,4,4,3
2496,36,2,2,1,1,1,1,4,4,1,0
2497,20,4,4,3,1,1,1,4,5,1,0
2498,28,3,4,4,3,3,3,3,4,3,1
2499,11,2,2,4,2,2,2,2,4,2,1
2500,24,3,3,4,5,2,5,5,3,5,2
2501,50,1,1,2,3,5,5,4,5,5,2
2502,47,2,2,2,5,5,4,4,4,4,3
2503,60,3,3,2,5,5,4,2,4,2,2
2504,34,4,4,2,4,1,4,5,4,4,1
2505,45,4,4,4,3,4,3,3,3,3,2
2506,13,3,3,3,2,5,2,3,5,2,2
2507,57,4,4,4,5,4,4,5,4,5,2
2508,51,3,2,2,2,3,3,3,3,4,1
2509,60,5,5,5,2,4,4,4,4,5,5
2510,22,2,4,2,2,3,2,2,4,2,2
2511,50,3,2,3,2,4,4,3,4,5,5
2512,28,2,2,3,4,4,4,3,4,4,1
2513,59,3,3,3,3,4,5,3,5,4,4
2514,33,3,4,4,3,4,3,1,3,2,2
2515,26,3,3,3,2,2,2,5,4,2,2
2516,46,2,1,1,2,2,2,3,3,2,1
2517,57,3,3,3,4,5,5,4,5,4,3
2518,27,2,2,2,4,4,4,3,5,4,4
2519,33,1,1,4,3,5,3,4,4,3,1
2520,37,4,4,3,5,5,5,4,1,5,1
2521,39,3,3,4,1,1,1,5,3,1,0
2522,51,4,4,4,5,4,5,5,5,4,3
2523,60,3,3,2,2,2,2,5,4,2,1
2524,39,1,1,1,5,4,4,2,4,4,4
2525,43,0,0,1,2,4,5,3,5,4,3
2526,24,3,3,4,2,2,2,2,3,2,1
2527,22,0,0,1,2,2,2,4,4,2,3
2528,31,3,4,5,4,4,4,1,4,4,2
2529,37,2,3,4,3,3,3,1,4,3,1
2530,53,5,5,5,4,4,5,2,5,1,3
2531,30,3,4,3,4,4,4,5,4,4,2
2532,49,4,4,3,4,4,4,4,2,4,1
2533,36,3,3,3,3,5,4,5,4,4,4
2534,52,2,5,5,4,3,2,4,2,1,0
2535,38,1,1,2,4,4,4,3,5,4,2
2536,9,1,1,3,1,1,1,3,4,1,0
2537,53,1,2,1,4,5,4,3,4,3,4
2538,34,3,3,2,1,1,1,3,4,1,0
2539,59,3,3,3,3,1,4,2,4,3,4
2540,30,4,2,2,4,4,4,2,4,4,2
2541,58,3,3,3,4,5,4,4,4,3,3
2542,22,2,2,5,1,1,1,3,5,1,0
2543,38,5,5,4,3,3,3,5,5,3,3
2544,46,5,5,5,4,3,4,5,4,4,4
2545,46,1,1,1,3,5,4,4,4,4,4
2546,58,3,3,3,4,4,3,5,3,5,5
2547,44,1,1,1,3,4,4,5,4,4,4
2548,11,2,2,5,1,1,1,3,4,1,0
2549,52,2,5,1,5,4,2,2,2,1,0
2550,56,1,0,2,5,3,4,2,4,3,1
2551,32,4,4,4,2,2,2,5,4,2,2
2552,23,5,5,3,4,4,4,4,4,4,4
2553,41,5,5,5,5,5,4,4,4,5,5
2554,25,3,3,2,2,2,2,3,5,2,1
2555,46,5,5,5,3,4,4,5,4,3,3
2556,27,2,3,3,2,2,2,4,3,2,2
2557,60,1,1,1,3,5,5,4,5,5,5
2558,44,2,5,5,4,1,1,5,1,1,3
2559,18,2,2,4,1,1,1,3,3,1,0
2560,26,4,4,4,3,3,3,5,5,3,2
2561,25,3,3,3,2,2,2,1,5,2,2
2562,22,1,1,1,3,3,3,4,5,3,2
2563,25,1,1,2,5,4,5,1,4,5,1
2564,53,2,2,2,4,3,4,3,4,1,0
2565,59,3,3,2,1,1,5,2,5,1,0
2566,44,5,2,2,5,5,5,4,2,5,5
2567,43,5,5,5,4,4,3,3,3,5,5
2568,37,3,3,3,1,1,1,4,2,1,0
2569,62,1,1,3,3,3,3,2,4,3,2
2570,45,4,4,4,1,5,1,2,1,1,0
2571,26,1,1,3,5,5,5,3,4,5,2
2572,28,4,4,4,2,2,2,5,4,2,1
2573,24,1,1,3,1,1,1,4,2,1,0
2574,26,4,4,4,4,5,4,4,4,4,1
2575,63,2,2,2,5,5,4,3,4,4,3
2576,26,3,3,3,3,3,3,1,1,3,2
2577,41,5,5,5,1,4,5,2,5,2,4
2578,17,3,0,4,5,5,5,3,3,5,2
2579,36,2,2,3,5,5,5,3,3,5,2
2580,30,2,3,2,4,3,4,5,4,4,3
2581,27,2,2,1,3,3,3,5,4,3,1
2582,65,4,5,5,1,4,4,4,4,3,2
2583,23,3,3,4,4,4,4,1,4,4,2
2584,10,3,3,5,3,3,3,2,5,3,2
2585,16,4,4,3,3,3,3,5,4,3,1
2586,8,2,2,5,3,5,3,4,5,3,1
2587,32,2,2,3,2,4,2,3,4,2,2
2588,56,2,2,2,4,1,3,1,3,1,3
2589,59,3,3,3,2,4,5,3,5,3,3
2590,23,1,1,4,2,2,2,4,4,2,2
2591,59,0,0,1,3,5,4,4,4,3,3
2592,38,3,3,4,5,5,5,2,4,5,2
2593,37,1,4,4,2,4,1,2,1,1,0
2594,39,3,2,2,3,3,3,4,4,3,1
2595,46,2,1,1,3,3,3,4,4,3,2
2596,40,4,4,4,5,4,4,5,4,4,3
2597,24,2,2,2,4,4,4,4,4,4,4
2598,37,4,4,4,3,5,4,3,4,5,5
2599,21,2,2,3,3,3,3,5,5,3,1
2600,20,2,2,2,4,4,4,3,3,4,1
2601,38,3,3,3,3,5,3,5,4,3,1
2602,19,2,1,2,1,1,1,4,4,1,0
2603,49,2,3,1,5,5,5,4,4,5,1
2604,58,2,2,2,4,5,2,3,2,3,3
2605,35,4,4,4,2,4,4,4,4,4,4
2606,28,2,2,2,2,2,2,2,3,2,2
2607,47,3,4,4,3,3,3,2,3,3,1
2608,46,2,2,2,2,4,5,5,5,5,5
2609,40,2,2,3,2,2,2,4,4,2,1
2610,46,4,4,4,4,4,4,3,4,3,3
2611,67,1,1,2,2,2,2,5,5,2,2
2612,39,5,5,1,1,1,1,5,4,1,4
2613,22,4,4,4,4,4,4,4,4,4,3
2614,52,4,4,4,2,4,5,3,5,3,4
2615,40,3,3,1,2,5,2,3,5,2,3
2616,54,2,5,5,3,3,2,4,2,4,1
2617,32,5,5,5,4,4,4,4,5,4,4
2618,24,3,3,4,3,3,3,4,5,3,2
2619,50,4,1,1,2,3,2,1,2,1,0
2620,50,5,5,5,2,4,2,5,2,5,5
2621,23,4,4,4,5,5,5,2,4,5,5
2622,34,1,1,4,1,3,2,3,5,3,2
2623,25,2,1,1,2,2,2,4,2,2,2
2624,54,1,1,2,3,3,3,5,5,3,2
2625,49,2,2,2,5,4,3,4,3,5,5
2626,54,4,1,1,4,4,4,1,3,4,2
2627,37,2,5,5,4,3,2,2,2,3,1
2628,57,2,2,2,3,5,5,3,5,5,5
2629,41,3,1,1,3,2,3,2,3,1,0
2630,35,1,1,1,3,4,5,5,5,5,5
2631,25,1,1,1,5,5,5,4,4,5,5
2632,62,3,3,3,3,4,5,5,5,3,3
2633,37,3,3,2,5,5,5,3,5,5,2
2634,64,1,1,3,3,2,4,2,4,2,1
2635,23,1,1,1,5,5,5,5,4,5,5
2636,45,2,2,2,4,4,5,5,5,4,3
2637,30,2,2,2,5,5,5,2,2,5,5
2638,47,4,2,2,4,4,4,5,5,4,3
2639,53,4,4,4,5,4,4,4,4,5,5
2640,35,1,1,2,4,2,4,3,2,4,2
2641,44,3,4,4,3,3,3,1,4,3,1
2642,30,3,3,3,4,4,4,3,4,4,4
2643,16,3,4,3,5,5,5,3,4,5,5
2644,25,2,2,4,1,1,1,1,4,1,0
2645,29,4,4,4,4,4,4,1,5,4,3
2646,49,4,4,1,2,2,2,4,5,2,1
2647,48,4,5,5,4,4,4,5,4,4,4
2648,57,2,4,4,3,3,2,4,2,2,2
2649,30,5,5,5,4,5,5,5,5,5,5
2650,34,1,1,2,1,1,1,3,4,1,0
2651,16,2,2,2,5,5,5,3,4,5,2
2652,42,1,1,3,5,5,5,1,4,5,1
2653,15,3,2,4,2,3,2,2,4,2,2
2654,17,2,2,4,1,3,1,3,4,1,0
2655,56,3,3,3,5,5,3,5,5,5,5
2656,42,3,3,3,5,5,4,4,4,3,3
2657,39,2,2,2,4,4,4,4,4,3,4
2658,50,4,4,4,2,5,4,4,4,4,4
2659,52,5,1,5,4,5,5,3,5,5,5
2660,70,0,0,3,4,4,2,4,2,5,5
2661,14,1,4,4,1,1,1,1,4,1,0
2662,70,4,4,3,4,4,4,1,2,4,2
2663,32,3,3,4,1,1,1,4,4,1,0
2664,54,5,1,5,5,5,4,5,4,4,3
2665,26,1,1,2,3,3,3,4,5,3,1
2666,47,2,5,5,1,2,2,2,2,1,0
2667,28,0,0,2,5,5,5,2,1,5,5
2668,51,5,5,1,3,3,3,5,4,3,3
2669,25,4,4,1,5,5,5,3,5,5,5
2670,30,3,3,3,4,4,4,4,5,4,4
2671,43,2,2,2,4,5,2,5,2,5,5
2672,43,2,3,2,2,5,4,4,4,5,5
2673,67,3,1,5,3,4,3,3,3,1,0
2674,13,3,3,3,3,2,4,2,1,2,1
2675,58,3,2,2,4,3,5,4,5,3,2
2676,21,3,3,4,1,1,1,4,5,1,0
2677,44,2,3,3,3,3,3,2,1,3,1
2678,54,3,3,2,4,4,4,5,4,4,1
2679,36,4,4,3,2,2,2,2,4,2,2
2680,46,1,1,1,3,4,5,4,5,5,5
2681,58,1,0,4,3,3,3,3,4,3,1
2682,69,3,3,3,5,4,4,4,4,4,1
2683,18,5,1,5,4,4,4,1,2,4,4
2684,36,5,5,5,4,4,3,5,3,4,3
2685,35,5,5,3,3,1,3,3,3,3,4
2686,52,3,3,3,2,4,4,5,4,3,3
2687,27,4,4,4,4,4,4,2,1,4,4
2688,27,4,4,4,3,3,3,3,5,3,4
2689,34,3,3,3,1,4,5,3,5,5,5
2690,21,0,0,1,1,1,1,3,5,1,4
2691,36,2,2,2,3,3,3,5,4,3,2
2692,23,0,1,4,3,3,3,3,5,3,4
2693,25,4,4,4,3,3,3,3,5,3,3
2694,46,3,4,4,3,3,3,2,1,3,3
2695,31,1,1,1,3,3,3,5,4,3,2
2696,40,2,5,5,2,2,2,3,3,2,2
2697,62,1,1,2,4,5,2,4,2,3,1
2698,45,0,0,3,3,4,1,4,1,4,4
2699,10,1,1,3,2,2,2,5,5,2,2
2700,53,4,4,4,4,4,4,1,4,4,4
2701,49,3,4,2,2,3,2,1,2,1,0
2702,20,4,4,5,2,2,2,4,4,2,4
2703,33,3,2,4,2,5,3,5,4,5,1
2704,32,3,5,5,3,3,3,1,4,3,1
2705,50,4,4,4,5,4,5,3,5,4,1
2706,21,4,4,4,4,3,4,5,5,4,4
2707,49,2,2,1,5,4,5,5,4,5,2
2708,36,4,4,3,4,4,4,3,4,4,2
2709,58,4,4,4,2,4,3,4,3,4,3
2710,12,5,3,5,4,4,4,3,4,4,4
2711,36,3,2,2,3,3,3,5,2,3,4
2712,58,2,2,2,2,4,2,4,2,4,1
2713,59,5,5,4,4,4,4,3,5,4,4
2714,36,1,1,1,3,4,4,3,4,3,4
2715,9,5,5,2,2,1,2,1,2,2,3
2716,32,2,2,1,1,3,1,5,2,1,0
2717,66,3,4,4,4,3,3,3,3,2,1
2718,67,1,2,4,4,4,1,3,1,4,1
2719,53,0,0,4,5,4,2,4,2,4,4
2720,26,3,3,3,4,4,4,2,2,4,3
2721,23,0,0,2,2,2,2,3,4,2,4
2722,54,1,1,1,5,5,4,3,4,4,3
2723,7,2,2,3,3,3,3,3,4,3,2
2724,35,3,3,3,5,5,5,3,5,5,5
2725,38,2,1,4,2,2,2,3,3,2,1
2726,47,1,3,4,3,3,1,4,1,1,0
2727,8,4,4,3,4,4,4,2,4,4,2
2728,55,2,2,2,4,5,5,4,5,5,5
2729,36,5,1,5,2,2,2,1,2,5,5
2730,38,2,2,2,2,2,2,4,4,2,2
2731,23,3,3,2,1,2,1,5,4,1,0
2732,20,5,5,2,3,3,3,5,5,3,4
2733,47,4,4,3,5,5,5,3,5,5,2
2734,24,4,4,4,4,4,4,5,5,4,4
2735,23,4,4,2,2,5,2,1,2,2,1
2736,43,1,2,2,4,3,1,1,1,3,2
2737,7,2,4,3,3,3,3,2,4,3,1
2738,28,2,2,2,5,5,5,3,4,5,5
2739,31,5,2,2,5,5,5,4,5,5,5
2740,28,4,4,2,3,3,3,1,5,3,4
2741,56,5,5,5,5,4,5,4,5,3,4
2742,48,4,4,4,4,5,3,4,3,4,3
2743,55,1,1,1,5,4,3,5,3,3,3
2744,35,1,5,1,1,2,5,5,5,2,3
2745,45,4,4,4,1,1,4,3,4,4,4
2746,28,2,0,2,2,2,2,3,5,2,1
2747,29,1,3,3,1,1,1,1,3,1,0
2748,40,2,2,3,4,4,4,3,4,4,2
2749,69,3,2,2,2,3,2,3,2,2,2
2750,54,4,4,4,4,2,4,1,4,1,0
2751,26,2,2,3,2,1,2,5,5,2,1
2752,33,2,2,3,4,5,4,2,4,4,1
2753,46,4,3,3,3,1,4,3,4,2,4
2754,42,4,4,2,4,5,5,3,5,5,5
2755,27,2,2,3,2,4,3,4,5,4,2
2756,21,1,1,2,3,3,3,3,4,3,2
2757,53,2,4,4,2,2,2,1,1,2,2
2758,67,0,0,3,5,5,5,4,1,5,5
2759,23,4,4,4,4,4,4,3,5,4,4
2760,22,3,5,3,4,4,4,1,3,4,2
2761,22,4,1,1,4,4,4,4,3,4,2
2762,40,1,2,3,1,1,1,5,5,1,0
2763,77,4,2,2,4,3,4,3,4,1,0
2764,25,3,3,2,4,4,4,4,2,4,1
2765,26,1,1,1,3,3,3,3,4,3,3
2766,52,2,2,3,4,4,4,5,4,5,2
2767,52,2,2,2,4,5,5,4,5,5,5
2768,56,3,3,2,3,3,3,3,5,3,1
2769,55,3,3,3,4,3,3,2,3,2,2
2770,50,2,2,2,3,5,5,4,5,3,4
2771,31,4,4,4,5,5,5,3,4,5,5
2772,54,3,3,1,2,5,5,4,5,4,1
2773,35,2,2,2,3,4,4,4,4,4,4
2774,29,4,4,3,2,2,2,3,4,2,1
2775,62,5,5,3,4,4,3,4,3,3,4
2776,35,3,3,1,4,1,4,5,5,4,2
2777,61,1,1,4,3,5,5,4,5,3,2
2778,52,1,5,1,2,4,4,3,4,4,4
2779,23,2,2,2,2,5,1,5,2,5,1
2780,33,4,4,4,4,4,4,5,5,4,4
2781,54,2,2,3,3,3,3,3,4,3,2
2782,48,4,4,4,3,5,4,1,4,1,3
2783,39,1,1,1,5,3,4,3,4,2,3
2784,12,2,2,2,3,3,3,4,3,3,2
2785,21,4,4,2,1,1,1,1,4,1,3
2786,41,4,4,4,4,5,4,4,4,3,3
2787,31,2,4,4,2,2,2,1,4,2,2
2788,14,4,4,3,1,1,1,5,4,1,0
2789,9,2,2,1,3,3,3,5,5,3,2
2790,37,3,4,4,5,3,3,1,3,4,2
2791,40,2,2,1,1,1,1,5,5,1,0
2792,17,1,1,3,1,4,1,4,4,1,0
2793,11,1,2,3,2,3,2,4,4,2,2
2794,39,2,4,4,2,2,2,2,2,2,2
2795,36,4,4,4,2,5,5,3,5,4,4
2796,53,3,3,3,3,5,4,3,4,5,5
2797,9,3,3,4,2,2,2,3,1,2,1
2798,33,1,1,1,4,5,5,3,5,4,4
2799,9,2,2,4,4,4,4,3,4,4,2
2800,56,2,2,2,3,4,5,4,5,5,5
2801,33,4,5,5,4,4,4,3,2,4,3
2802,53,2,2,2,2,5,3,4,3,5,1
2803,53,3,3,3,3,5,4,5,5,5,1
2804,40,3,3,1,1,1,1,2,3,1,0
2805,43,4,4,4,4,5,5,5,5,5,5
2806,33,4,4,3,5,5,5,4,4,5,1
2807,41,3,3,3,2,4,4,5,4,3,3
2808,60,4,4,4,5,5,2,3,2,5,5
2809,43,2,2,3,3,5,3,3,4,3,2
2810,22,5,5,5,4,4,4,3,4,4,3
2811,18,3,2,4,5,3,5,4,3,5,1
2812,70,2,1,1,2,2,2,3,3,2,2
2813,72,2,4,5,3,3,2,3,2,1,0
2814,46,4,3,5,3,3,3,3,3,3,4
2815,23,1,2,4,2,2,2,1,4,2,1
2816,36,2,3,3,3,4,3,4,3,2,2
2817,49,3,3,3,5,3,3,3,3,4,1
2818,50,4,4,4,3,5,4,5,4,5,5
2819,27,1,1,4,1,1,1,3,3,1,0
2820,57,4,4,4,5,2,4,4,4,5,5
2821,23,3,3,3,3,3,3,5,5,3,1
2822,39,5,5,5,4,4,4,4,4,5,5
2823,48,5,5,5,4,4,4,4,4,3,3
2824,23,3,3,3,1,1,1,3,3,1,0
2825,49,4,4,4,3,4,5,5,5,5,5
2826,64,2,2,1,3,3,3,3,4,3,2
2827,42,5,5,5,4,5,3,5,3,5,5
2828,21,4,4,1,3,4,3,4,4,3,1
2829,19,4,4,3,5,1,5,4,4,5,2
2830,43,2,2,2,5,3,2,1,2,3,1
2831,56,3,3,4,2,2,2,3,4,2,1
2832,24,2,2,3,3,3,3,4,3,3,1
2833,33,4,4,4,5,5,5,3,5,5,5
2834,44,3,3,3,4,5,5,3,5,4,4
2835,66,3,3,5,5,3,5,1,5,4,2
2836,33,3,3,3,4,5,4,5,4,1,3
2837,36,3,4,5,3,3,3,4,3,3,1
2838,69,5,5,5,5,5,5,5,4,5,5
2839,41,2,2,1,2,2,2,3,5,2,1
2840,57,2,2,2,3,5,4,5,4,3,4
2841,53,3,3,3,5,2,3,1,3,1,0
2842,21,2,3,3,2,1,2,3,3,2,2
2843,65,2,1,1,2,2,1,2,4,2,2
2844,58,3,3,3,3,4,2,3,2,5,2
2845,32,3,3,3,5,5,5,4,5,5,5
2846,62,1,1,3,2,4,5,4,5,4,1
2847,63,0,0,2,0,1,3,1,5,1,4
2848,37,1,1,2,1,5,1,4,4,1,0
2849,37,4,1,1,4,4,4,1,3,4,3
2850,19,3,3,4,1,1,1,4,4,1,0
2851,25,2,2,2,4,4,4,4,4,4,4
2852,30,0,0,3,4,2,4,5,4,4,3
2853,39,0,0,4,3,3,2,5,2,3,3
2854,50,4,2,4,2,5,5,3,5,5,5
2855,67,1,0,4,3,3,3,3,5,3,1
2856,42,3,4,4,3,3,3,1,2,3,2
2857,20,4,5,5,4,4,4,4,3,4,2
2858,47,1,1,3,2,2,2,1,2,2,1
2859,27,5,5,1,3,3,2,3,1,3,3
2860,44,2,2,2,3,1,4,2,4,2,4
2861,38,2,2,1,4,3,4,4,5,4,1
2862,21,2,4,3,3,3,3,5,4,3,1
2863,40,4,4,4,3,5,4,4,4,5,5
2864,19,2,2,3,3,3,3,3,3,3,1
2865,8,3,2,3,3,3,2,3,2,3,1
2866,25,2,2,2,4,4,4,5,5,4,3
2867,25,3,5,4,5,3,5,4,5,5,1
2868,52,3,3,3,1,4,3,2,3,1,0
2869,30,2,2,4,3,3,3,3,5,3,2
2870,32,3,3,1,4,4,4,4,4,4,2
2871,57,4,1,1,1,4,4,1,4,2,2
2872,49,2,2,2,3,4,4,3,4,4,3
2873,54,1,2,1,5,5,3,5,4,5,5
2874,40,3,3,3,2,5,5,5,5,5,5
2875,55,5,5,5,5,5,5,5,5,5,5
2876,18,2,2,1,2,2,2,4,5,2,2
2877,23,3,3,3,3,3,3,4,2,3,1
2878,12,2,2,4,2,2,2,1,3,2,2
2879,60,1,1,3,4,1,4,1,4,4,1
2880,29,1,1,3,2,1,2,4,5,2,1
2881,41,5,1,1,5,5,5,1,1,5,5
2882,41,3,3,2,3,3,3,5,5,3,2
2883,49,2,2,2,5,5,4,5,3,5,5
2884,53,2,0,5,2,2,2,2,3,2,2
2885,36,5,5,5,2,5,3,2,3,1,3
2886,56,3,4,4,3,3,3,2,4,3,1
2887,34,2,5,5,1,3,2,3,2,2,1
2888,46,5,3,4,5,5,5,4,3,5,5
2889,13,3,3,2,2,2,2,3,5,2,1
2890,45,5,5,5,4,4,3,5,3,3,3
2891,43,2,2,2,4,4,4,2,4,1,3
2892,43,1,1,1,3,5,5,3,5,4,4
2893,44,1,1,1,3,3,4,3,4,3,3
2894,45,5,5,5,5,4,5,3,5,3,4
2895,53,5,1,1,4,4,5,1,5,2,3
2896,9,4,4,4,5,5,5,1,4,5,1
2897,50,4,2,2,1,4,4,5,4,2,4
2898,14,5,5,2,5,5,5,3,4,5,5
2899,35,4,4,4,2,3,5,2,5,4,3
2900,43,4,4,4,4,4,4,4,1,4,1
2901,53,2,2,2,5,5,5,4,5,4,3
2902,28,3,2,4,2,2,2,4,3,2,1
2903,19,3,1,4,3,3,3,2,5,3,2
2904,33,4,4,4,5,2,5,5,5,3,4
2905,27,3,3,4,3,3,5,3,4,3,2
2906,51,2,2,2,2,4,4,5,4,4,4
2907,35,2,2,4,2,2,2,1,4,2,2
2908,13,1,2,2,1,1,1,1,3,1,0
2909,58,4,1,1,4,4,4,4,3,4,2
2910,58,3,3,1,2,2,2,3,2,2,1
2911,29,4,4,1,3,2,3,2,4,3,1
2912,17,0,1,4,3,3,3,4,5,3,4
2913,48,3,3,3,2,4,3,5,3,4,1
2914,70,2,3,3,4,4,2,1,2,4,2
2915,42,4,3,2,2,2,2,5,4,2,3
2916,21,2,2,4,1,1,1,4,4,1,0
2917,54,2,2,2,3,5,5,5,5,5,5
2918,38,1,1,1,5,3,4,2,4,4,3
2919,33,3,3,2,5,1,5,5,4,5,1
2920,18,5,5,3,5,4,5,3,5,5,5
2921,49,3,3,3,5,5,4,5,4,4,3
2922,50,3,3,2,4,4,5,5,5,5,2
2923,40,4,4,5,3,3,3,4,2,3,1
2924,49,3,3,1,3,3,3,5,5,3,3
2925,9,2,2,4,2,2,2,5,1,2,2
2926,61,3,3,4,5,5,5,2,3,5,1
2927,59,4,4,1,5,5,3,3,3,4,4
2928,45,4,4,2,1,1,1,5,4,1,3
2929,38,1,3,1,2,5,5,5,5,5,5
2930,36,5,5,5,2,1,4,5,4,4,4
2931,43,4,4,4,2,4,5,3,5,4,4
2932,62,3,3,4,3,4,5,4,5,3,2
2933,48,5,5,5,4,5,5,4,5,4,3
2934,37,5,4,4,5,5,5,3,2,5,5
2935,42,3,3,3,3,3,3,2,3,3,1
2936,50,1,1,3,3,4,5,3,5,3,1
2937,30,1,1,1,4,4,4,5,5,4,3
2938,44,2,0,3,1,1,1,1,4,1,0
2939,29,1,1,1,5,5,5,4,4,5,1
2940,34,3,4,1,5,5,5,3,4,5,1
2941,17,2,2,2,4,4,4,4,4,4,3
2942,33,3,3,3,3,3,3,4,2,3,1
2943,7,3,3,4,5,5,5,2,3,5,1
